Date,Month,Year,Graphing Label,Total Jobs (private and government),Private Sector (total),"Mining, Logging and Construction",Manufacturing (total),Manufacturing (durable goods),Manufacturing (non-durable goods),"Trade, Transportation, and Utilities (total)","Trade, Transportation, and Utilities (wholesale trade)","Trade, Transportation, and Utilities (retail trade)","Trade, Transportation, and Utilities (transportation, warehousing, and utilities)",Information,Financial Activities (total),Financial Activities (finance and insurance),Financial Activities (real estate and rental and leasing),Professional and Business Services (total),"Professional and Business Services (professional, scientific, and technical services)",Professional and Business Services (management of companies and enterprises),Professional and Business Services (administrative and support and waste management and remediation services),Education and Health Services (total),Education and Health Services (educational services),Education and Health Services (health care and social assistance),Leisure and Hospitality (total),"Leisure and Hospitality (arts, entertainment, and recreation)",Leisure and Hospitality (accommodation and food services),Other Services,Government (total),Government (federal),Government (state),Government (local)
1/1/2007 0:00,Jan,2007,7-Jan,2608300,2132200,190700,134900,72800,62100,478600,95100,302000,81500,50100,158800,111100,47700,396100,220100,20200,155800,370100,70500,299600,235500,38600,196900,117400,476100,125400,108800,241900
2/1/2007 0:00,Feb,2007,7-Feb,2601000,2125500,188000,134700,72600,62100,477700,95300,301100,81300,50100,158500,110800,47700,395700,220400,20300,155000,370400,70700,299700,233500,36700,196800,116900,475500,124900,108600,242000
3/1/2007 0:00,Mar,2007,7-Mar,2611900,2134600,191100,134700,72500,62200,479000,95300,302000,81700,50400,158200,110400,47800,397300,221000,20500,155800,372200,71300,300900,234500,37200,197300,117200,477300,124800,109000,243500
4/1/2007 0:00,Apr,2007,7-Apr,2606900,2129300,191100,134400,72400,62000,476900,95200,300900,80800,50500,157700,110000,47700,396600,220900,20500,155200,371900,70900,301000,233000,35900,197100,117200,477600,124800,109200,243600
5/1/2007 0:00,May,2007,7-May,2611600,2132400,191700,134300,72200,62100,477700,95100,301400,81200,50900,157700,110000,47700,397200,221400,20500,155300,373000,71500,301500,232700,36100,196600,117200,479200,124600,109800,244800
6/1/2007 0:00,Jun,2007,7-Jun,2610600,2132400,191600,134100,72100,62000,477300,94800,301300,81200,51200,157300,109700,47600,397200,221600,20600,155000,374300,71600,302700,232000,35300,196700,117400,478200,124700,108100,245400
7/1/2007 0:00,Jul,2007,7-Jul,2612600,2132900,191200,134000,72200,61800,476500,94800,300700,81000,51300,157200,109700,47500,397400,221700,20900,154800,374200,71200,303000,233200,35900,197300,117900,479700,124600,109300,245800
8/1/2007 0:00,Aug,2007,7-Aug,2612700,2131300,190700,133500,71800,61700,474500,94600,299400,80500,51800,156600,109200,47400,397400,221900,20800,154700,375100,71200,303900,234000,36200,197800,117700,481400,125000,109400,247000
9/1/2007 0:00,Sep,2007,7-Sep,2611700,2130700,189600,133100,71500,61600,473300,94500,298500,80300,51800,156200,108900,47300,398300,221700,21000,155600,376200,71500,304700,234400,36300,198100,117800,481000,124900,109300,246800
10/1/2007 0:00,Oct,2007,7-Oct,2611000,2128900,188800,133300,71800,61500,473700,94300,299200,80200,50200,155700,108400,47300,398700,222300,21000,155400,375600,71700,303900,234800,36500,198300,118100,482100,125200,109300,247600
11/1/2007 0:00,Nov,2007,7-Nov,2612600,2128800,187600,133000,71700,61300,473800,94300,299700,79800,50500,155200,107800,47400,399200,223000,21200,155000,376400,72400,304000,235000,35700,199300,118100,483800,125400,110000,248400
12/1/2007 0:00,Dec,2007,7-Dec,2615800,2131800,186600,133000,71800,61200,475000,94400,300600,80000,51000,155000,107800,47200,400100,223700,21300,155100,377300,72500,304800,235800,36600,199200,118000,484000,125500,109800,248700
1/1/2008 0:00,Jan,2008,8-Jan,2619300,2132900,187200,132600,71600,61000,473300,94300,299500,79500,50900,154300,107400,46900,400800,225200,21400,154200,379300,73500,305800,236800,36900,199900,117700,486400,125500,109600,251300
2/1/2008 0:00,Feb,2008,8-Feb,2619200,2132500,186700,132800,71600,61200,473000,94200,299300,79500,50800,154200,107300,46900,400200,225000,21500,153700,379600,73000,306600,237500,37400,200100,117700,486700,125800,109900,251000
3/1/2008 0:00,Mar,2008,8-Mar,2615200,2128900,185900,132000,71100,60900,471400,94500,298100,78800,50400,154000,107200,46800,399600,225000,21600,153000,380600,73300,307300,237600,36800,200800,117400,486300,126000,109900,250400
4/1/2008 0:00,Apr,2008,8-Apr,2615900,2128900,184300,131300,70800,60500,469200,93900,296700,78600,50600,153600,106900,46700,400100,225600,21400,153100,382000,73600,308400,239800,37000,202800,118000,487000,126300,110200,250500
5/1/2008 0:00,May,2008,8-May,2609600,2122300,182600,130900,70600,60300,467500,93600,295200,78700,50100,153000,106500,46500,398800,225400,21500,151900,382700,73800,308900,238700,37200,201500,118000,487300,126600,109500,251200
6/1/2008 0:00,Jun,2008,8-Jun,2602700,2116100,181200,130400,70300,60100,465900,93500,293700,78700,49400,152400,106200,46200,397800,225400,21400,151000,383500,74000,309500,237400,36800,200600,118100,486600,126900,109900,249800
7/1/2008 0:00,Jul,2008,8-Jul,2604500,2114000,179700,130100,70200,59900,465400,93100,293300,79000,49500,151800,105600,46200,399000,225900,21400,151700,384800,74500,310300,236100,36400,199700,117600,490500,127500,110600,252400
8/1/2008 0:00,Aug,2008,8-Aug,2601000,2108800,178600,129900,70200,59700,464200,92700,292400,79100,49100,151500,105600,45900,397600,225200,21600,150800,385700,74400,311300,234900,36100,198800,117300,492200,127600,110800,253800
9/1/2008 0:00,Sep,2008,8-Sep,2594300,2103600,177300,129200,69800,59400,461800,92400,290800,78600,49100,150700,104900,45800,397400,225800,21600,150000,387500,75300,312200,233200,35200,198000,117400,490700,127900,111200,251600
10/1/2008 0:00,Oct,2008,8-Oct,2588800,2098100,175300,128100,69200,58900,459900,92000,289400,78500,48800,150400,104800,45600,395200,225500,21400,148300,388700,74800,313900,234900,35900,199000,116800,490700,128100,111400,251200
11/1/2008 0:00,Nov,2008,8-Nov,2579600,2088500,172800,127500,68800,58700,455500,91300,285700,78500,49100,149600,104300,45300,393800,225600,21300,146900,389100,74400,314700,234500,35700,198800,116600,491100,128600,111600,250900
12/1/2008 0:00,Dec,2008,8-Dec,2570800,2078900,169500,126500,68300,58200,453000,90600,283600,78800,48500,149300,104100,45200,391200,225600,21300,144300,390200,75300,314900,234400,36000,198400,116300,491900,129200,111600,251100
1/1/2009 0:00,Jan,2009,9-Jan,2557700,2066900,166000,125400,67600,57800,449400,90200,281700,77500,47400,148000,103800,44200,390200,225900,21300,143000,391600,75700,315900,232800,35300,197500,116100,490800,129200,110400,251200
2/1/2009 0:00,Feb,2009,9-Feb,2548500,2056500,163900,124400,67000,57400,446900,89800,280000,77100,47100,147500,103600,43900,387600,225000,21100,141500,392100,75200,316900,231300,34900,196400,115700,492000,129600,110300,252100
3/1/2009 0:00,Mar,2009,9-Mar,2537000,2044700,161100,123200,66400,56800,443800,88800,278400,76600,47300,146200,103000,43200,385000,224400,21000,139600,392500,75100,317400,230200,34800,195400,115400,492300,129700,111400,251200
4/1/2009 0:00,Apr,2009,9-Apr,2530200,2036200,158200,122100,65900,56200,440400,88200,276500,75700,46300,146300,103200,43100,384000,223800,21000,139200,393600,74800,318800,230300,35200,195100,115000,494000,130900,111400,251700
5/1/2009 0:00,May,2009,9-May,2531600,2036800,156600,121400,65700,55700,440500,87600,277100,75800,45800,146200,103100,43100,383800,223700,21100,139000,394400,75100,319300,232900,36800,196100,115200,494800,131100,110200,253500
6/1/2009 0:00,Jun,2009,9-Jun,2528600,2034000,155200,120800,65200,55600,439600,87100,276800,75700,46100,145700,102800,42900,383500,223600,21000,138900,395500,75300,320200,232000,36100,195900,115600,494600,131300,110800,252500
7/1/2009 0:00,Jul,2009,9-Jul,2519500,2024200,153700,119800,64400,55400,438000,86700,276000,75300,45300,145100,102200,42900,381600,223000,20400,138200,394200,73900,320300,231600,36100,195500,114900,495300,132000,111700,251600
8/1/2009 0:00,Aug,2009,9-Aug,2517300,2021000,151800,119500,64600,54900,437100,86700,275400,75000,45300,144700,102000,42700,382300,223200,20400,138700,395300,74600,320700,230400,35700,194700,114600,496300,132500,112200,251600
9/1/2009 0:00,Sep,2009,9-Sep,2511500,2018200,150100,119600,64300,55300,437000,86300,275400,75300,44600,144600,101900,42700,380700,222400,20400,137900,395600,75000,320600,231100,35700,195400,114900,493300,132800,112100,248400
10/1/2009 0:00,Oct,2009,9-Oct,2511400,2012900,148700,119600,64400,55200,435300,86100,274300,74900,44200,144200,101400,42800,381200,222000,20500,138700,396500,74700,321800,228500,34900,193600,114700,498500,134000,114000,250500
11/1/2009 0:00,Nov,2009,9-Nov,2510300,2013000,147700,119400,64600,54800,436000,85900,275000,75100,43900,144400,101500,42900,381500,222000,20700,138800,397100,74700,322400,228100,34900,193200,114900,497300,134100,112900,250300
12/1/2009 0:00,Dec,2009,9-Dec,2506300,2008400,146900,119200,64200,55000,433300,85600,273900,73800,43700,143900,101300,42600,381200,221700,20700,138800,397700,75000,322700,227800,34900,192900,114700,497900,134400,112900,250600
1/1/2010 0:00,Jan,2010,10-Jan,2506700,2008300,145500,118900,64000,54900,433400,85200,274100,74100,44100,143100,100700,42400,381900,221300,20200,140400,399200,76100,323100,228100,34900,193200,114100,498400,135800,112900,249700
2/1/2010 0:00,Feb,2010,10-Feb,2472400,1976700,138300,117000,62800,54200,428000,84600,269700,73700,44000,142600,100400,42200,378400,220700,20500,137200,392800,74300,318500,222800,33300,189500,112800,495700,135700,113000,247000
3/1/2010 0:00,Mar,2010,10-Mar,2507000,2007200,143600,117700,63100,54600,435100,85200,275100,74800,44700,142900,100500,42400,383300,222700,20800,139800,399100,75700,323400,226300,35000,191300,114500,499800,136100,114000,249700
4/1/2010 0:00,Apr,2010,10-Apr,2521700,2021200,146500,118300,63300,55000,438500,85500,276100,76900,44900,142900,100600,42300,386300,223400,21000,141900,400700,76500,324200,229300,35500,193800,113800,500500,137800,113000,249700
5/1/2010 0:00,May,2010,10-May,2530600,2022700,146400,117800,63000,54800,439200,85700,277100,76400,44600,143000,100800,42200,387000,223900,21100,142000,401300,76700,324600,229400,36200,193200,114000,507900,145600,113900,248400
6/1/2010 0:00,Jun,2010,10-Jun,2530600,2024600,145800,117600,63000,54600,439600,85600,277700,76300,45000,143400,101200,42200,388400,224800,21200,142400,401300,76600,324700,229400,35900,193500,114100,506000,143700,113100,249200
7/1/2010 0:00,Jul,2010,10-Jul,2528700,2024600,145300,117100,62600,54500,440100,85600,278200,76300,44000,143500,101500,42000,388300,224400,21400,142500,402200,76800,325400,230200,35700,194500,113900,504100,141900,113700,248500
8/1/2010 0:00,Aug,2010,10-Aug,2528300,2024800,145500,116500,62200,54300,439800,85500,278200,76100,42700,143400,101600,41800,388500,224800,21600,142100,403000,76800,326200,231300,35700,195600,114100,503500,140800,113900,248800
9/1/2010 0:00,Sep,2010,10-Sep,2527400,2026600,145400,116200,62000,54200,439000,85000,277900,76100,44000,143500,101800,41700,388800,225400,21900,141500,403500,77400,326100,232600,36100,196500,113600,500800,140000,113500,247300
10/1/2010 0:00,Oct,2010,10-Oct,2535100,2034400,145100,115600,61400,54200,441400,85700,279000,76700,43900,143900,102100,41800,393300,226400,22200,144700,403600,77100,326500,233400,35900,197500,114200,500700,140100,112900,247700
11/1/2010 0:00,Nov,2010,10-Nov,2532800,2029800,145600,114900,60800,54100,440800,85700,278900,76200,42200,144000,102300,41700,391200,226700,22500,142000,404400,77200,327200,232700,35400,197300,114000,503000,140400,113200,249400
12/1/2010 0:00,Dec,2010,10-Dec,2537600,2035400,144900,114600,60600,54000,441200,85800,279100,76300,43800,144700,102900,41800,393800,227300,22600,143900,405200,77200,328000,233300,35600,197700,113900,502200,141100,113400,247700
1/1/2011 0:00,Jan,2011,11-Jan,2535000,2031200,144300,116100,61900,54200,441600,86000,279200,76400,41900,143900,102200,41700,394100,227200,22900,144000,405900,77900,328000,229500,35700,193800,113900,503800,141500,113800,248500
2/1/2011 0:00,Feb,2011,11-Feb,2540000,2035500,144700,116300,62000,54300,441900,85700,279500,76700,42400,144000,102100,41900,394800,227400,23200,144200,406800,77900,328900,230700,35800,194900,113900,504500,142100,114000,248400
3/1/2011 0:00,Mar,2011,11-Mar,2544500,2038400,145000,116000,61900,54100,442600,85900,280000,76700,42000,143800,102100,41700,395600,227800,23200,144600,407200,78100,329100,232400,35900,196500,113800,506100,142600,113600,249900
4/1/2011 0:00,Apr,2011,11-Apr,2544000,2040600,145600,116100,62000,54100,442900,85800,280200,76900,41600,143800,101900,41900,396500,228600,23400,144500,407300,78100,329200,232900,36100,196800,113900,503400,143100,111700,248600
5/1/2011 0:00,May,2011,11-May,2541800,2038900,145100,115800,61900,53900,443100,85900,279900,77300,41000,143500,101600,41900,396700,228600,23500,144600,407800,77700,330100,232400,35300,197100,113500,502900,143900,111900,247100
6/1/2011 0:00,Jun,2011,11-Jun,2542300,2037100,144800,115400,61600,53800,443100,85800,280000,77300,40600,143000,101100,41900,397700,229100,23500,145100,406900,77300,329600,232200,35700,196500,113400,505200,144600,112400,248200
7/1/2011 0:00,Jul,2011,11-Jul,2554100,2046400,145300,115200,61600,53600,444000,86200,279700,78100,41100,142900,100900,42000,401300,230100,23900,147300,409100,77700,331400,234200,36100,198100,113300,507700,144900,112800,250000
8/1/2011 0:00,Aug,2011,11-Aug,2547300,2044400,144700,114900,61600,53300,445200,86100,280800,78300,37700,142500,100400,42100,401200,230200,24000,147000,410400,78700,331700,234700,36000,198700,113100,502900,146100,113100,243700
9/1/2011 0:00,Sep,2011,11-Sep,2553100,2048700,144000,114300,61400,52900,446200,86400,281800,78000,40300,142600,100300,42300,402500,230500,24100,147900,411100,78400,332700,235400,36300,199100,112300,504400,148500,112500,243400
10/1/2011 0:00,Oct,2011,11-Oct,2556700,2049900,144500,114200,61500,52700,445800,86000,281900,77900,40600,142700,100000,42700,403000,230900,24200,147900,411400,78400,333000,235200,36100,199100,112500,506800,147700,114000,245100
